campaignid,date,c1,c2,c3,ip,amount
22,2017-04-24 18:33:44,17xvf20e6,,,76.180.16.175,0.26
3647,2017-04-20 21:34:57,1naoprguy6,,,70.195.0.207,43
24,2017-04-15 00:22:08,8eson1ruwv,,,97.97.231.54,0.28
1454,2017-04-15 07:06:49,4tefxqnk,,,72.49.217.26,0
4238,2017-04-15 08:17:06,8dk6t3,,,70.188.128.143,45
1454,2017-04-15 09:07:03,76cdm9r,,,76.27.28.144,0
1454,2017-04-15 10:26:42,61cdyqusr,,,184.3.172.153,0
1454,2017-04-15 10:57:02,61cdyqusr,,,173.184.101.44,0
1454,2017-04-15 12:01:30,4tefxqnk,,,146.115.237.49,0
4238,2017-04-15 13:56:14,8dk6t3,,,72.200.122.18,45
23,2017-04-15 17:22:27,0227,1eatp6wub3,,174.208.18.100,0.35
1454,2017-04-15 19:32:19,4tefxqnk,,,69.21.193.26,0
4238,2017-04-16 00:24:59,8dk6t3,,,72.219.136.10,45
23,2017-04-16 01:12:06,0227,302tljea,,98.20.41.175,0.35
24,2017-04-16 07:48:05,8nwhjz,,,24.167.194.239,0.28
23,2017-04-16 08:57:38,0227,1eatp6wub3,,166.137.136.45,0.35
23,2017-04-16 12:21:33,0227,1eatp6wub3,,71.212.195.193,0.35
17,2017-04-16 17:32:39,5zqnfsvy,,,96.8.193.128,0.28
3825,2017-04-16 19:34:27,8b3ks1,,,75.168.146.153,75
24,2017-04-16 19:57:27,6hvxdce8g,,,98.167.128.52,0.28
22,2017-04-16 20:37:46,17xvf20e6,,,74.141.109.52,0.26
23,2017-04-16 20:53:52,0227,1609emdg,,75.118.236.81,0.35
23,2017-04-16 21:51:55,1comwstxyu,,,96.60.155.67,0.35
24,2017-04-17 01:12:29,4czg9sp78,,,184.153.177.32,0.28
1454,2017-04-17 08:08:52,4tefxqnk,,,75.100.11.159,0
22,2017-04-17 09:14:43,56lc2kj,,,74.215.112.67,0.26
1454,2017-04-17 10:38:21,76cdm9r,,,184.101.157.61,0
1454,2017-04-17 11:23:52,4tefxqnk,,,75.100.98.158,0
1454,2017-04-17 13:57:42,4tefxqnk,,,96.61.97.192,0
3647,2017-04-17 14:55:34,75arvz6yhj,,,75.174.26.34,43
1454,2017-04-17 14:59:08,4tefxqnk,,,184.60.204.194,0
22,2017-04-17 14:59:36,2y4f7o,,,74.143.233.25,0.26
23,2017-04-17 16:18:28,1comwstxyu,,,64.121.175.231,0.35
22,2017-04-17 18:32:27,4uagi0wt9d,,,68.227.16.216,0.26
22,2017-04-18 09:37:08,4uagi0wt9d,,,68.110.212.5,0.26
23,2017-04-18 10:08:43,36efby5v,,,174.107.97.190,0.35
1454,2017-04-18 12:49:26,4tefxqnk,,,104.231.38.119,0
23,2017-04-18 12:49:31,2d6kvm1y9e,,,71.223.212.31,0.35
1454,2017-04-18 13:15:11,61cdyqusr,,,174.223.141.188,0
1454,2017-04-18 16:58:35,61cdyqusr,,,150.176.171.131,0
24,2017-04-18 17:13:03,09u513tj6b,,,72.188.236.247,0.28
263,2017-04-18 20:11:35,562qpcbifk,,,65.128.121.39,24
22,2017-04-18 19:19:16,7x1wdfo2,,,73.44.57.65,0.26
22,2017-04-18 19:32:59,5a9wqrt4k,,,45.21.136.81,0.26
22,2017-04-18 19:44:23,17xvf20e6,,,108.184.12.93,0.26
22,2017-04-18 19:47:36,8ix9qrjp1b,,,72.225.4.224,0.26
263,2017-04-18 21:11:34,562qpcbifk,,,63.152.103.43,24
23,2017-04-18 20:18:22,2q1znt,,,75.83.147.172,0.35
23,2017-04-18 20:29:02,2q1znt,,,66.249.88.143,0.35
23,2017-04-18 20:29:05,2q1znt,,,98.20.209.38,0.35
23,2017-04-18 20:29:19,2q1znt,,,72.172.33.35,0.35
23,2017-04-18 20:29:30,2q1znt,,,66.102.6.129,0.35
23,2017-04-18 20:29:37,2q1znt,,,98.23.32.29,0.35
23,2017-04-18 20:29:40,2q1znt,,,71.28.78.30,0.35
23,2017-04-18 20:29:41,2q1znt,,,71.31.100.182,0.35
23,2017-04-18 20:29:43,2q1znt,,,208.77.126.61,0.35
23,2017-04-18 20:39:29,2q1znt,,,98.20.214.135,0.35
23,2017-04-18 20:39:35,2q1znt,,,98.22.224.26,0.35
23,2017-04-18 20:39:45,2q1znt,,,40.138.190.163,0.35
23,2017-04-18 20:48:10,2q1znt,,,67.140.115.73,0.35
23,2017-04-18 20:48:13,2q1znt,,,173.186.25.152,0.35
23,2017-04-18 20:48:26,2q1znt,,,174.130.67.47,0.35
23,2017-04-18 20:48:31,2q1znt,,,98.20.161.149,0.35
23,2017-04-18 20:52:14,2q1znt,,,40.133.172.20,0.35
23,2017-04-18 20:52:16,2q1znt,,,71.29.251.243,0.35
23,2017-04-18 20:52:18,2q1znt,,,173.190.160.58,0.35
23,2017-04-18 20:58:31,2q1znt,,,75.89.117.74,0.35
23,2017-04-18 20:58:39,2q1znt,,,207.155.82.228,0.35
23,2017-04-18 21:09:01,2q1znt,,,208.123.178.165,0.35
23,2017-04-18 21:09:15,2q1znt,,,98.22.174.126,0.35
23,2017-04-18 21:09:25,2q1znt,,,98.19.56.2,0.35
23,2017-04-18 21:23:34,2q1znt,,,173.191.56.121,0.35
23,2017-04-18 21:23:38,2q1znt,,,98.16.33.144,0.35
23,2017-04-18 21:23:40,2q1znt,,,173.186.13.57,0.35
23,2017-04-18 21:23:49,1comwstxyu,,,67.204.135.27,0.35
23,2017-04-18 21:23:55,2q1znt,,,75.91.81.89,0.35
23,2017-04-18 21:27:12,2q1znt,,,98.18.32.83,0.35
22,2017-04-18 21:27:17,17xvf20e6,,,69.76.13.161,0.26
23,2017-04-18 21:32:48,2q1znt,,,174.107.86.13,0.35
23,2017-04-18 21:49:30,2q1znt,,,75.88.104.79,0.35
23,2017-04-18 21:51:39,2q1znt,,,67.140.228.73,0.35
23,2017-04-18 21:51:46,2q1znt,,,173.184.42.2,0.35
23,2017-04-18 21:58:31,2q1znt,,,50.96.136.151,0.35
23,2017-04-18 22:13:25,2q1znt,,,71.28.51.90,0.35
23,2017-04-18 22:16:12,2q1znt,,,75.88.238.27,0.35
23,2017-04-18 22:39:05,2q1znt,,,98.16.16.216,0.35
23,2017-04-18 22:54:09,2q1znt,,,173.190.187.54,0.35
23,2017-04-18 23:03:11,2q1znt,,,98.18.193.204,0.35
23,2017-04-18 23:13:42,2q1znt,,,50.96.163.186,0.35
23,2017-04-18 23:13:49,2q1znt,,,71.31.221.220,0.35
23,2017-04-19 00:13:02,2q1znt,,,72.4.12.100,0.35
23,2017-04-19 01:12:57,2q1znt,,,75.89.224.8,0.35
23,2017-04-19 04:23:04,2q1znt,,,98.21.60.80,0.35
23,2017-04-19 05:53:57,2q1znt,,,75.89.187.146,0.35
23,2017-04-19 06:23:27,2q1znt,,,173.184.74.241,0.35
23,2017-04-19 06:23:36,2q1znt,,,50.96.70.132,0.35
23,2017-04-19 06:28:43,2q1znt,,,74.130.105.246,0.35
23,2017-04-19 06:37:10,2q1znt,,,75.117.74.173,0.35
23,2017-04-19 06:54:05,2q1znt,,,173.188.195.58,0.35
23,2017-04-19 06:54:21,2q1znt,,,98.18.101.71,0.35
23,2017-04-19 07:13:30,2q1znt,,,98.19.62.25,0.35
23,2017-04-19 07:44:13,2q1znt,,,40.133.184.48,0.35
23,2017-04-19 07:44:32,2q1znt,,,67.140.144.100,0.35
23,2017-04-19 08:02:46,2q1znt,,,98.21.67.139,0.35
23,2017-04-19 08:16:05,2q1znt,,,40.138.183.203,0.35
23,2017-04-19 08:16:37,2q1znt,,,166.102.197.111,0.35
23,2017-04-19 08:25:13,2q1znt,,,151.213.83.181,0.35
23,2017-04-19 08:35:39,2q1znt,,,173.186.10.99,0.35
23,2017-04-19 08:36:15,2q1znt,,,40.134.145.15,0.35
23,2017-04-19 08:36:41,2q1znt,,,50.96.104.170,0.35
23,2017-04-19 08:44:02,2q1znt,,,71.75.241.233,0.35
23,2017-04-19 08:49:20,2q1znt,,,69.40.35.124,0.35
17,2017-04-19 09:10:08,04ulqoxm,,,67.10.229.58,0.28
23,2017-04-19 09:12:53,2q1znt,,,75.167.203.207,0.35
23,2017-04-19 09:24:41,2q1znt,,,24.99.15.16,0.35
23,2017-04-19 09:24:51,2q1znt,,,98.21.242.244,0.35
22,2017-04-19 09:58:56,17xvf20e6,,,104.32.25.14,0.26
23,2017-04-19 10:07:42,2q1znt,,,71.28.76.241,0.35
23,2017-04-19 10:13:37,2q1znt,,,162.40.220.15,0.35
23,2017-04-19 10:37:07,2q1znt,,,75.130.179.193,0.35
23,2017-04-19 10:44:39,2q1znt,,,192.180.211.213,0.35
23,2017-04-19 10:57:41,2q1znt,,,98.18.107.59,0.35
23,2017-04-19 11:16:18,2q1znt,,,68.106.41.140,0.35
23,2017-04-19 11:37:51,2q1znt,,,174.232.128.59,0.35
23,2017-04-19 11:48:08,2q1znt,,,150.208.129.204,0.35
23,2017-04-19 11:53:13,2q1znt,,,98.21.89.140,0.35
